Employment,Country,AISearchDevAdmired
"Independent contractor, freelancer, or self-employed",Netherlands,ChatGPT;GitHub Copilot;Perplexity AI
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Employed, full-time",Germany,ChatGPT;GitHub Copilot;Perplexity AI
"Student, full-time;Not employed, but looking for work",United States of America,NA
"Employed, full-time",Canada,NA
"Employed, full-time",Germany,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",Israel,NA
"Employed, full-time",Spain,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed;Retired",Romania,NA
"Employed, full-time",Germany,NA
"Independent contractor, freelancer, or self-employed",Belgium,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Serbia,ChatGPT;GitHub Copilot
"Not employed, but looking for work;Student, part-time",Canada,ChatGPT;Claude;Cody;Google Gemini;Perplexity AI
"Employed, full-time;Independent contractor, freelancer, or self-employed",Norway,NA
"Student, full-time",Canada,ChatGPT;Google Gemini
"Independent contractor, freelancer, or self-employed",Poland,NA
"Employed, full-time",Norway,NA
"Independent contractor, freelancer, or self-employed",Croatia,ChatGPT
"Independent contractor, freelancer, or self-employed",Canada,ChatGPT;Claude;Google Gemini;Perplexity AI
"Employed, full-time",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;Google Gemini
"Employed, full-time;Student, full-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",Maldives,ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode
"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Egypt,ChatGPT;Google Gemini;Visual Studio Intellicode
"Employed, full-time",Finland,ChatGPT
"Independent contractor, freelancer, or self-employed",Germany,ChatGPT
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",Belgium,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Denmark,Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",Poland,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Student, full-time",Netherlands,NA
Retired,United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United States of America,NA
I prefer not to say,United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Canada,ChatGPT
Retired,Canada,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time;Independent contractor, freelancer, or self-employed",Sweden,ChatGPT;Claude;GitHub Copilot;WolframAlpha
"Not employed, but looking for work",Brazil,GitHub Copilot
"Employed, full-time",Canada,ChatGPT;GitHub Copilot
"Employed, full-time",Poland,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Czech Republic,GitHub Copilot
"Employed, full-time",NA,NA
"Employed, full-time",Germany,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",Slovakia,ChatGPT;Google Gemini
"Employed, full-time",Austria,Google Gemini;WolframAlpha
"Employed, full-time",NA,NA
Retired,United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Russian Federation,NA
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",United States of America,GitHub Copilot
"Employed, full-time",Canada,ChatGPT;Claude;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",India,Bing AI;ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Not employed, but looking for work",Nigeria,ChatGPT;Cody;GitHub Copilot;Google Gemini;You.com
"Employed, full-time",Bulgaria,ChatGPT;GitHub Copilot;Visual Studio Intellicode
Retired,United States of America,Google Gemini
"Employed, full-time",United States of America,NA
"Employed, full-time",Spain,WolframAlpha
"Student, full-time",United States of America,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Poland,Bing AI;ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;GitHub Copilot
"Employed, full-time",Germany,ChatGPT;GitHub Copilot;Google Gemini;Perplexity AI
"Employed, full-time",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",NA,NA
"Employed, full-time",New Zealand,Amazon Q;ChatGPT
"Independent contractor, freelancer, or self-employed",France,ChatGPT;GitHub Copilot
"Not employed, but looking for work",Chile,Bing AI;ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,ChatGPT;Claude;Codeium;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Germany,NA
Retired,Netherlands,NA
"Employed, full-time",Netherlands,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",Germany,Amazon Q;ChatGPT;GitHub Copilot
Retired,Ireland,NA
"Employed, full-time",United States of America,ChatGPT;Claude;Cody
"Not employed, but looking for work",United States of America,ChatGPT
"Employed, full-time",Austria,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",Israel,ChatGPT
Retired,United States of America,Bing AI;ChatGPT
"Employed, full-time;Student, full-time",Hungary,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Iceland,Codeium;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Germany,NA
"Employed, full-time",Spain,GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Not employed, but looking for work",United States of America,GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Ecuador,Bing AI;ChatGPT;Codeium;GitHub Copilot;Google Gemini
"Employed, full-time",Canada,ChatGPT;GitHub Copilot
"Independent contractor, freelancer, or self-employed",Colombia,ChatGPT
"Employed, full-time",Italy,ChatGPT;Phind
"Employed, full-time",Denmark,ChatGPT;GitHub Copilot
"Employed, full-time",Canada,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Student, full-time",Brazil,Bing AI;ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,Bing AI;ChatGPT
"Not employed, but looking for work",United States of America,NA
Retired,Netherlands,NA
"Employed, full-time;Student, full-time",United States of America,ChatGPT;Google Gemini
"Employed, full-time;Independent contractor, freelancer, or self-employed",Austria,ChatGPT;GitHub Copilot
"Employed, full-time",Denmark,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;GitHub Copilot
"Independent contractor, freelancer, or self-employed",Sweden,ChatGPT;GitHub Copilot
"Employed, full-time",Italy,NA
"Employed, full-time",Netherlands,ChatGPT
"Employed, full-time",Sweden,Bing AI;ChatGPT
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",Netherlands,ChatGPT;Perplexity AI
"Not employed, and not looking for work",United States of America,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,Bing AI;ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",NA,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;GitHub Copilot
"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Sweden,GitHub Copilot
"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,NA
Retired,United States of America,ChatGPT
"Employed, full-time",Italy,Bing AI;ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot;OpenAI Codex;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",Czech Republic,NA
Retired,United Kingdom of Great Britain and Northern Ireland,ChatGPT;Claude;GitHub Copilot;Google Gemini;Perplexity AI
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",NA,NA
"Employed, full-time",United States of America,ChatGPT
"Student, full-time",NA,NA
"Employed, full-time",United States of America,ChatGPT
"Independent contractor, freelancer, or self-employed",Poland,NA
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Not employed, and not looking for work",Israel,NA
"Employed, full-time",Finland,Bing AI;ChatGPT
"Employed, full-time",France,NA
Retired,Barbados,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Czech Republic,GitHub Copilot
"Independent contractor, freelancer, or self-employed",United States of America,ChatGPT
"Employed, full-time",United States of America,ChatGPT;Visual Studio Intellicode
Retired,United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Colombia,ChatGPT
"Not employed, but looking for work",France,Tabnine
"Employed, full-time",Spain,ChatGPT
"Employed, full-time",Spain,NA
"Student, part-time",South Africa,ChatGPT
"Employed, full-time",Spain,NA
"Employed, full-time",United States of America,Claude;Codeium
"Student, full-time",United States of America,ChatGPT
"Independent contractor, freelancer, or self-employed",Germany,ChatGPT
"Employed, full-time",United States of America,NA
"Not employed, and not looking for work",Russian Federation,NA
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",Sweden,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Sweden,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,Visual Studio Intellicode
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,Bing AI
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,ChatGPT;Claude;GitHub Copilot;Perplexity AI
"Employed, full-time",Denmark,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Canada,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot;Google Gemini;Snyk Code;Visual Studio Intellicode
"Employed, full-time",Russian Federation,NA
"Independent contractor, freelancer, or self-employed",Czech Republic,NA
"Student, full-time;Employed, part-time",United States of America,NA
"Employed, full-time",United States of America,Perplexity AI;WolframAlpha
"Employed, full-time",United States of America,GitHub Copilot;WolframAlpha;Visual Studio Intellicode
"Employed, full-time",Italy,NA
I prefer not to say,NA,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Netherlands,ChatGPT
"Independent contractor, freelancer, or self-employed",Sweden,ChatGPT
"Employed, full-time",Canada,ChatGPT
"Employed, full-time",Austria,ChatGPT;GitHub Copilot;Google Gemini
"Student, full-time;Employed, part-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Australia,NA
"Employed, full-time",NA,NA
"Employed, full-time",Germany,NA
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Montenegro,Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",NA,NA
"Employed, full-time",New Zealand,ChatGPT
"Employed, full-time",United States of America,GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;Claude;GitHub Copilot;Phind
"Employed, full-time",United States of America,ChatGPT;Claude;GitHub Copilot
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",Switzerland,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Latvia,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",Israel,ChatGPT;GitHub Copilot
"Employed, full-time",Finland,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",India,ChatGPT
